id,ja
1,個人の意志は尊重しなければいけない。
2,気楽にいけよ。大丈夫、すべてうまくいくさ。
3,悲観的な人生観を捨てて、前向きな態度を常に持ち続けよう。
4,生まれた国、性別、信条に関係なく、誰に対しても公平でなくてはならない
5,平等は憲法で守られている。
6,彼は柱に寄りかかって、自由の女神像をじっとみつめた
7,香水のほのかな香りを漂わせながら、一人の女性が僕の前を通り過ぎた。前の彼女のことを思い出してしまった。
8,納豆は臭いはひどいけれど味は最高。
9,「汗でびしょぬれだよ。」「来ないで！くさいわ。シャワーを浴びて。」
10,ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。
11,まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。
12,来月、その百科事典の最新版が出る。
13,山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳 した。
14,以下の一説は有名な寓話からの引用です。
15,「現代文学に詳しいですが？」 「ほとんど知りません。」
16,"時々、""""curve""""と""""carve""""を混同してしまう"
17,恥ずかしがらないで。あなたの発音はだいたい合っています。
18,この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。
19,彼の最新の作品が市庁舎で展示されているの｡言葉にできないほど紫敵よ。
20,「少し詰めていただけませんか？」「あ、ごめんなさい。こんなに 場所を取っていたなんて気付きませんでした｡」
21,「この不格好な物体は何？」 「これは抽象芸術の作品だよ！」
22,100ドル貸してくれとリッチーに頼んだら、彼は「俺もお金がないんだよ！」と言って首を横に振った。
23,「安売りをしているといつも衝動買いしてしまうたちです。」 「私も。」
24,実際のところ、普通の人々にはそんな贅沢品を購入する余裕はない。
25,予期していたとおり、失業率は3四半期連続で上昇した。
26,出費を切り詰めないと。だから、これからは使ったお金は一日単位で記録していくつもりだ。
27,いずれにせよ、組合側はある程度妥協しなければならない
28,有能な整備士は引っ張りだこだから、なかなかの賃金を稼げる。
29,大統領は福祉改革を実行するための具体的な計画を発表した。
30,彼の政策はきっと暗い結果を招くだろう。徹底的な見直しが必要だ。
31,社会の高齢化が避けられないことは言うまでもない。
32,この表をご覧になってください。少年非行が深刻な割合で増加していることを示しています。
33,多くの商業地区では、数年間売りに出されている空き地がたくさんある。
34,大都市の人口密度が徐々に低下している。
35,ほぼ間違いなくこの先数年、出生率は減少の一途をたどるだろう。
36,その発電所は遠く離れた郡に電気を供給している。
37,許可なくこの装置を操作することはできません。
38,実は、住民たちは放射能にさらさせてきた。
39,核エネルギーの潜在的な危険性は､いくら強調してもし過ぎるということはない。
40,過去数年間その問題を見過ごしていた報道機関が､今ではどちらかと言えばそのことを重視し過ぎている。
41,穀物を栽培するだけでなく、その農業経営者は食料雑貨店も経営している。
42,その研究所は1960年代後半に設立された。
43,スターさんに直接相談したらどうですか？ この辺りでは文句なしでいちばん有名な弁護士ですよ。
44,念のためメモしておきます。記憶力が悪いから。
45,弁護士は依頼人に、保険会社に対して法的手段を取る事を勧めた。
46,彼らには、けがに対する補償を受ける権利がある。
47,インフルエンザの流行で、現在までに200人もの人が亡くなっている。
48,それらの錠剤の効果は強烈だが持続性はない。
49,彼は爪を噛む癖がある。あれには本当にぞっとするよ。
50,うちの息子を抱こうとしてかがんだときに、おばあちゃんは腰を痛めた。
51,肩が凝るなら、薬草治療を試してごらんよ。
52,医学の飛躍的発展は人類全体に多大な恩恵をもたらしてきた。
53,クローン技術は人間にはもちろん､牛にも応用してはいけない。 絶対にしてはならないことだ。
54,鯨は哺乳動物に分類される。
55,進化論は私の想像力の範囲を超えている。
56,その生物学者は自分の歴史的発見に誇りをもっており、そのことを臆することなく口に出す。
57,倫理的な理由から、彼らはいわゆる遺伝子治療に反対している。
58,その病気の初期症状は高熱と喉の痛みです。
59,脳の構造は複雑だ。
60,病気のために年次会議を欠席した代表者もいた。
61,私の娘婿は徐々に胃癌を克服しつつあり、今は明るく元気だ。
62,「これって偽物だろう？」 「何言ってるの。本物の骨蓮品よ。」 「まさか！」
63,「ほかにご注文は?」「こちらでお召し上がりですか？」「持ち帰ります。」
64,「この敷物はおいくらですか?」「税込みで100ドルです」「じゃあ、これにします。」
65,そのパンツはあなたには似合わないと思う。こっちをはいてみて。今すごく流行っているのよ。
